ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0090737	telomere maintenance via telomere trimming	4/1327	15/18670	0.0184086648695569	0.999954174444838	0.999954174444838	ERCC1/XRCC3/TERF2/SLX1B	4
BP	GO:0009308	amine metabolic process	17/1327	138/18670	0.0185404614391582	0.999954174444838	0.999954174444838	ABCC2/MOXD1/COMT/PSMD8/PSMC6/PSMC1/PSMB5/PSMD10/PSMD7/PSMD9/AOC2/SAT2/PSMC2/VCAM1/HPRT1/SULT1B1/NQO1	17
BP	GO:0002833	positive regulation of response to biotic stimulus	27/1327	249/18670	0.0187652787002902	0.999954174444838	0.999954174444838	HMGB3/ICAM3/PSMD8/PSMC6/PSMC1/PSMB5/PSMD10/PSMD7/PSMD9/SASH1/ULBP1/HRG/ZBP1/NECTIN2/PRKCA/PSMC2/FADD/POLR3D/MUC15/RASGRP1/MUC16/LAMP1/XRCC6/MUC21/USP17L2/KLRC4-KLRK1/IKBKE	27
BP	GO:0001909	leukocyte mediated cytotoxicity	14/1327	107/18670	0.0192379990121094	0.999954174444838	0.999954174444838	CEACAM1/P2RX7/ICAM1/CORO1A/ULBP1/NECTIN2/FAM49B/HPRT1/CRK/FADD/RASGRP1/LAMP1/GZMM/KLRC4-KLRK1	14
BP	GO:0035567	non-canonical Wnt signaling pathway	18/1327	150/18670	0.020066835550751	0.999954174444838	0.999954174444838	DVL2/PSMD8/PSMC6/PSMC1/PSMB5/PSMD10/PSMD7/SMURF2/PSMD9/PTK7/NPHP3/TIAM1/PSMC2/FZD6/AP2A2/ROR1/CALM1/SMURF1	18
BP	GO:0038061	NIK/NF-kappaB signaling	21/1327	183/18670	0.0202381349204257	0.999954174444838	0.999954174444838	BIRC3/BCL3/NFKB2/PSMD8/PSMC6/PPM1A/PSMC1/PSMB5/PSMD10/PSMD7/TNFRSF10A/PSMD9/SASH1/TNFRSF10B/CD27/AKT1/PSMC2/LRRC19/MIR149/MIR27A/IKBKE	21
BP	GO:0015813	L-glutamate transmembrane transport	5/1327	23/18670	0.0206431818136207	0.999954174444838	0.999954174444838	PSEN1/SLC38A7/PER2/SLC25A22/CLN8	5
BP	GO:0045821	positive regulation of glycolytic process	5/1327	23/18670	0.0206431818136207	0.999954174444838	0.999954174444838	MLXIPL/PSEN1/P2RX7/IFNG/PFKFB4	5
BP	GO:0006821	chloride transport	14/1327	108/18670	0.0207083785377072	0.999954174444838	0.999954174444838	PACC1/SLC12A3/ABCB1/GABRE/GABRR2/SLC26A10/PRKG2/GABRR1/SLC26A7/TTYH1/CLIC3/ANO9/GABRD/SLC26A6	14
BP	GO:0001913	T cell mediated cytotoxicity	8/1327	49/18670	0.0211872877328664	0.999954174444838	0.999954174444838	CEACAM1/P2RX7/ULBP1/NECTIN2/FAM49B/HPRT1/FADD/GZMM	8
BP	GO:0042036	negative regulation of cytokine biosynthetic process	7/1327	40/18670	0.0212711768624423	0.999954174444838	0.999954174444838	FOXP3/BCL3/INHA/ZFP36/INHBB/INPP5D/SIGIRR	7
BP	GO:0033627	cell adhesion mediated by integrin	10/1327	68/18670	0.0212992448408574	0.999954174444838	0.999954174444838	TESC/ICAM1/CRKL/HRG/ITGB7/CXCL13/CRK/EFNA1/PTK2/CD3E	10
BP	GO:0001910	regulation of leukocyte mediated cytotoxicity	11/1327	78/18670	0.0216178017460937	0.999954174444838	0.999954174444838	CEACAM1/P2RX7/ICAM1/ULBP1/NECTIN2/FAM49B/CRK/FADD/RASGRP1/LAMP1/KLRC4-KLRK1	11
BP	GO:0072347	response to anesthetic	11/1327	78/18670	0.0216178017460937	0.999954174444838	0.999954174444838	OPRK1/DNMT3B/PTK2B/FOSB/TIAM1/HTR3A/SRR/FADD/PENK/ATG7/PPP2R2A	11
BP	GO:1903052	positive regulation of proteolysis involved in cellular protein catabolic process	15/1327	120/18670	0.0230150986247827	0.999954174444838	0.999954174444838	GCLC/ATXN3/PSEN1/EDEM2/PSMC1/PSMD10/NOP53/PTK2B/AKT1/RNF217/PSMC2/PTK2/SOCS4/CSNK1A1L/SMURF1	15
BP	GO:0000394	RNA splicing, via endonucleolytic cleavage and ligation	4/1327	16/18670	0.0231933170566034	0.999954174444838	0.999954174444838	CPSF1/RTRAF/CPSF4/TSEN15	4
BP	GO:0035970	peptidyl-threonine dephosphorylation	4/1327	16/18670	0.0231933170566034	0.999954174444838	0.999954174444838	PPM1A/PPP2CB/DUSP1/DUSP4	4
BP	GO:0042448	progesterone metabolic process	4/1327	16/18670	0.0231933170566034	0.999954174444838	0.999954174444838	CYP46A1/EGR1/AKR1C2/AKR1C1	4
BP	GO:0043217	myelin maintenance	4/1327	16/18670	0.0231933170566034	0.999954174444838	0.999954174444838	EPB41L3/NDRG1/AKT2/AKT1	4
BP	GO:1902358	sulfate transmembrane transport	4/1327	16/18670	0.0231933170566034	0.999954174444838	0.999954174444838	SLC26A10/SLC26A7/SLC26A6/SLC25A10	4
BP	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	41/1327	419/18670	0.0233677903988808	0.999954174444838	0.999954174444838	GCLC/CDC27/CLEC16A/JKAMP/ATXN3/UBE2D1/DERL2/PPP2R5C/PSEN1/PCNP/EDEM2/PSMD8/PSMC6/PSMC1/PSMB5/PSMD10/PSMD7/PPP2CB/DMAC2/NOP53/SMURF2/PSMD9/LRRC29/ARRB1/GID4/AKT1/RNF217/CCAR2/PSMC2/BAG5/CDC26/FBXO39/AURKB/SHARPIN/SOCS4/CSNK1A1L/MTA1/NHLRC1/NCCRP1/SIAH1/SMURF1	41
BP	GO:0030183	B cell differentiation	16/1327	131/18670	0.0235335376750222	0.999954174444838	0.999954174444838	CD79B/HMGB3/BCL3/CD40LG/IL7/CD79A/JAK3/CR2/PTK2B/INHA/CD27/MS4A1/VCAM1/INPP5D/RAG2/ZBTB7A	16
BP	GO:1903320	regulation of protein modification by small protein conjugation or removal	25/1327	231/18670	0.0235438302269487	0.999954174444838	0.999954174444838	GCLC/BIRC3/PHF23/UBE2D1/TOLLIP/PSEN1/HSP90AA1/PSMD10/NOP53/LIMK1/DCUN1D4/SASH1/USP4/IVNS1ABP/EGR1/PER2/ARRB1/AKT1/TNIP1/BAG5/SVBP/MTA1/UBE2L3/NHLRC1/RASSF5	25
BP	GO:0097035	regulation of membrane lipid distribution	8/1327	50/18670	0.023703381118963	0.999954174444838	0.999954174444838	ABCB1/P2RX7/SLC66A2/ATP8B3/PRELID1/XKR6/TMEM30B/ANO9	8
BP	GO:0097178	ruffle assembly	7/1327	41/18670	0.0241267809071559	0.999954174444838	0.999954174444838	ICAM1/EPS8L1/PIP5K1A/CARMIL2/RHOG/EPS8L2/USP17L2	7
BP	GO:0018126	protein hydroxylation	5/1327	24/18670	0.0245905045189268	0.999954174444838	0.999954174444838	P4HA2/P3H1/P4HA1/VIPAS39/PLOD2	5
BP	GO:0015748	organophosphate ester transport	15/1327	121/18670	0.0246094296525431	0.999954174444838	0.999954174444838	ABCB1/P2RX7/SLC25A17/NPC2/ABCC11/SLC66A2/ATP8B3/PRELID3A/SLC25A25/PITPNC1/MFSD2A/PRELID1/XKR6/TMEM30B/ANO9	15
BP	GO:0072676	lymphocyte migration	14/1327	111/18670	0.0256277619832771	0.999954174444838	0.999954174444838	ICAM1/CRKL/PTK2B/CCR7/ITGB7/AKT1/CXCL13/AIRE/CRK/FADD/CYP7B1/SPNS2/CXCR3/KLRC4-KLRK1	14
BP	GO:0070232	regulation of T cell apoptotic process	6/1327	33/18670	0.0269458518770165	0.999954174444838	0.999954174444838	JAK3/CD27/ZC3H8/FADD/PRELID1/EFNA1	6
BP	GO:0051181	cofactor transport	7/1327	42/18670	0.0272348898721459	0.999954174444838	0.999954174444838	P2RX7/SLC25A17/HRG/PPT1/SLC25A48/FLVCR1/LMBRD1	7
BP	GO:0015914	phospholipid transport	12/1327	91/18670	0.0273032739528986	0.999954174444838	0.999954174444838	ABCB1/P2RX7/NPC2/SLC66A2/ATP8B3/PRELID3A/PITPNC1/MFSD2A/PRELID1/XKR6/TMEM30B/ANO9	12
BP	GO:0043279	response to alkaloid	14/1327	112/18670	0.0274455726350052	0.999954174444838	0.999954174444838	OPRK1/DNMT3B/ICAM1/BCHE/PTK2B/FOSB/TIAM1/HTR3A/SRR/FADD/TMED10/PENK/ATG7/PPP2R2A	14
BP	GO:0042180	cellular ketone metabolic process	26/1327	246/18670	0.0276311770130854	0.999954174444838	0.999954174444838	MLXIPL/CYP46A1/DGAT2/CEACAM1/COMT/PSMD8/PSMC6/PSMC1/PSMB5/PSMD10/PSMD7/AKT2/PSMD9/COQ6/EGR1/SIRT5/INSIG2/PRKAB2/AKT1/AKR1C2/DHRS4/PSMC2/FGF19/PDP2/NQO1/AKR1C1	26
BP	GO:0033238	regulation of cellular amine metabolic process	11/1327	81/18670	0.0278166336242253	0.999954174444838	0.999954174444838	COMT/PSMD8/PSMC6/PSMC1/PSMB5/PSMD10/PSMD7/PSMD9/PSMC2/HPRT1/NQO1	11
BP	GO:0042089	cytokine biosynthetic process	15/1327	123/18670	0.0280435604709131	0.999954174444838	0.999954174444838	FOXP3/BCL3/PSEN1/IFNG/EGR1/INHA/ZFP36/ZNF287/IL9/INHBB/STAT3/INPP5D/PAWR/SIGIRR/CD3E	15
BP	GO:0006334	nucleosome assembly	17/1327	145/18670	0.028545185988868	0.999954174444838	0.999954174444838	HIRA/H2BW2/CENPT/GRWD1/H2BW1/H2BC5/H4C8/SPTY2D1/H2BC13/NAP1L4/H2BC6/H4C6/H2BC17/H4C7/H2BC9/H4C5/H3C10	17
BP	GO:0008272	sulfate transport	4/1327	17/18670	0.0286644674506588	0.999954174444838	0.999954174444838	SLC26A10/SLC26A7/SLC26A6/SLC25A10	4
BP	GO:0061687	detoxification of inorganic compound	4/1327	17/18670	0.0286644674506588	0.999954174444838	0.999954174444838	ABCC2/MT1X/MT1F/MT1H	4
BP	GO:0070525	tRNA threonylcarbamoyladenosine metabolic process	4/1327	17/18670	0.0286644674506588	0.999954174444838	0.999954174444838	TRIT1/PRORP/TRMT5/TRMT10C	4
BP	GO:0031529	ruffle organization	8/1327	52/18670	0.029349525089748	0.999954174444838	0.999954174444838	ICAM1/CCR7/EPS8L1/PIP5K1A/CARMIL2/RHOG/EPS8L2/USP17L2	8
BP	GO:0002934	desmosome organization	3/1327	10/18670	0.0294582392198957	0.999954174444838	0.999954174444838	DSG2/PRKCA/PKP3	3
BP	GO:0006307	DNA dealkylation involved in DNA repair	3/1327	10/18670	0.0294582392198957	0.999954174444838	0.999954174444838	ALKBH5/ALKBH1/ASCC1	3
BP	GO:0008343	adult feeding behavior	3/1327	10/18670	0.0294582392198957	0.999954174444838	0.999954174444838	BRS3/USP46/DMBX1	3
BP	GO:0032328	alanine transport	3/1327	10/18670	0.0294582392198957	0.999954174444838	0.999954174444838	SLC38A7/SLC36A1/SLC38A2	3
BP	GO:0045792	negative regulation of cell size	3/1327	10/18670	0.0294582392198957	0.999954174444838	0.999954174444838	AKT1/UCN/AKT1S1	3
BP	GO:0048102	autophagic cell death	3/1327	10/18670	0.0294582392198957	0.999954174444838	0.999954174444838	CTSV/LAMP1/ATG7	3
BP	GO:0071104	response to interleukin-9	3/1327	10/18670	0.0294582392198957	0.999954174444838	0.999954174444838	JAK3/IL9/STAT3	3
BP	GO:0042107	cytokine metabolic process	15/1327	124/18670	0.0298877815168634	0.999954174444838	0.999954174444838	FOXP3/BCL3/PSEN1/IFNG/EGR1/INHA/ZFP36/ZNF287/IL9/INHBB/STAT3/INPP5D/PAWR/SIGIRR/CD3E	15
BP	GO:0065004	protein-DNA complex assembly	26/1327	248/18670	0.0301595238021857	0.999954174444838	0.999954174444838	MNAT1/HIRA/PSMC6/H2BW2/CENPT/GRWD1/H2BW1/MED6/CENPE/H2BC5/H4C8/PSMC2/MIS12/SWI5/SPTY2D1/TBPL2/BRF1/H2BC13/NAP1L4/H2BC6/H4C6/H2BC17/H4C7/H2BC9/H4C5/H3C10	26
BP	GO:0002260	lymphocyte homeostasis	9/1327	62/18670	0.0303077470431769	0.999954174444838	0.999954174444838	TNFRSF17/FOXP3/P2RX7/CORO1A/JAK3/AKT1/ZC3H8/FADD/SPNS2	9
BP	GO:1903051	negative regulation of proteolysis involved in cellular protein catabolic process	10/1327	72/18670	0.0304867015752092	0.999954174444838	0.999954174444838	CLEC16A/CSNK2A2/DERL2/PSEN1/NOP53/SCO1/CCAR2/BAG5/EFNA1/PSME3IP1	10
BP	GO:0000959	mitochondrial RNA metabolic process	7/1327	43/18670	0.0306040657522038	0.999954174444838	0.999954174444838	TRIT1/PRORP/MTERF2/TRMT5/MTERF1/SUPV3L1/TRMT10C	7
BP	GO:0045332	phospholipid translocation	7/1327	43/18670	0.0306040657522038	0.999954174444838	0.999954174444838	ABCB1/P2RX7/SLC66A2/ATP8B3/XKR6/TMEM30B/ANO9	7
BP	GO:0045089	positive regulation of innate immune response	23/1327	214/18670	0.031018759613908	0.999954174444838	0.999954174444838	HMGB3/ICAM3/PSMD8/PSMC6/PSMC1/PSMB5/PSMD10/PSMD7/PSMD9/ULBP1/ZBP1/NECTIN2/PSMC2/FADD/POLR3D/MUC15/RASGRP1/MUC16/LAMP1/XRCC6/MUC21/KLRC4-KLRK1/IKBKE	23
BP	GO:1903050	regulation of proteolysis involved in cellular protein catabolic process	23/1327	214/18670	0.031018759613908	0.999954174444838	0.999954174444838	GCLC/CLEC16A/ATXN3/CSNK2A2/DERL2/PSEN1/EDEM2/PSMC1/PSMD10/NOP53/PTK2B/SCO1/AKT1/RNF217/CCAR2/PSMC2/BAG5/EFNA1/PTK2/PSME3IP1/SOCS4/CSNK1A1L/SMURF1	23
BP	GO:0071466	cellular response to xenobiotic stimulus	20/1327	180/18670	0.0311987478872478	0.999954174444838	0.999954174444838	ABCC2/CYP46A1/ACAA1/DNMT3B/ICAM1/CYB5R3/BCHE/EGR1/CYP2G1P/AOC2/BPHL/MGST3/GSTO1/SULT1B1/NQO1/HSF1/AKR1C1/ATG7/CYP2A7/UGT1A1	20
BP	GO:0042035	regulation of cytokine biosynthetic process	14/1327	114/18670	0.031363237605092	0.999954174444838	0.999954174444838	FOXP3/BCL3/PSEN1/IFNG/EGR1/INHA/ZFP36/ZNF287/IL9/INHBB/STAT3/INPP5D/SIGIRR/CD3E	14
BP	GO:0001558	regulation of cell growth	40/1327	416/18670	0.0316961070253007	0.999954174444838	0.999954174444838	ST7L/RTN4R/KIF26A/DERL2/CEACAM1/EPB41L3/NRP1/CRKL/BDKRB1/YY1/PSMD10/SYT17/LIMK1/CAPRIN2/HRG/TTL/PAPPA2/SPP1/PTK2B/NPPB/PARP2/PPT1/PSRC1/AKT1/CAMK2D/IL9/FLCN/SUPV3L1/CCAR2/UCN/USP47/TNK1/RIMS2/WT1/NANOS1/SMURF1/GDI1/MIR199B/MEG3/C8orf44-SGK3	40
BP	GO:0010972	negative regulation of G2/M transition of mitotic cell cycle	12/1327	93/18670	0.0317059921032299	0.999954174444838	0.999954174444838	MRE11/PSMD8/PSMC6/PSMC1/PSMB5/PSMD10/PSMD7/NOP53/PSMD9/PSMC2/USP47/AURKB	12
BP	GO:0090263	positive regulation of canonical Wnt signaling pathway	17/1327	147/18670	0.0320317562416306	0.999954174444838	0.999954174444838	PSMD8/PSMC6/PPM1A/GSKIP/PSMC1/PSMB5/PSMD10/PSMD7/SMURF2/PSMD9/CAPRIN2/PTK7/CCAR2/PSMC2/RSPO1/USP47/CTDNEP1	17
BP	GO:0046686	response to cadmium ion	9/1327	63/18670	0.0332138735105862	0.999954174444838	0.999954174444838	GCLC/ERCC1/GSS/NPC1/AKT1/HSF1/MT1X/MT1F/MT1H	9
BP	GO:0060314	regulation of ryanodine-sensitive calcium-release channel activity	5/1327	26/18670	0.0338591987504752	0.999954174444838	0.999954174444838	CALM2/CAMK2D/GSTO1/JPH3/CALM1	5
BP	GO:0034204	lipid translocation	7/1327	44/18670	0.0342421210295838	0.999954174444838	0.999954174444838	ABCB1/P2RX7/SLC66A2/ATP8B3/XKR6/TMEM30B/ANO9	7
BP	GO:0042269	regulation of natural killer cell mediated cytotoxicity	7/1327	44/18670	0.0342421210295838	0.999954174444838	0.999954174444838	CEACAM1/ULBP1/NECTIN2/CRK/RASGRP1/LAMP1/KLRC4-KLRK1	7
BP	GO:0090311	regulation of protein deacetylation	7/1327	44/18670	0.0342421210295838	0.999954174444838	0.999954174444838	FOXP3/IFNG/CAMK2D/CCAR2/UCN/SPRED3/USP17L2	7
BP	GO:0045861	negative regulation of proteolysis	35/1327	358/18670	0.0344333457129916	0.999954174444838	0.999954174444838	BIRC3/CLEC16A/CSNK2A2/SPP2/DERL2/PICALM/CST7/PSEN1/NOP53/SPOCK2/YWHAE/HRG/WFDC3/CSTL1/SCO1/SPINK5/ARRB1/CD27/SERPINA10/AKT1/SPINK7/CCAR2/LCN1/BAG5/SERPINB8/EFNA1/USP47/PSME3IP1/CLN8/SPOCK3/SPINK14/SERPINB13/SPINK13/COL28A1/USP17L2	35
BP	GO:0015893	drug transport	22/1327	205/18670	0.0348100775249873	0.999954174444838	0.999954174444838	ABCC2/PSEN1/OPRK1/SLC25A17/SLC32A1/SLC38A7/SYT17/SLC36A1/PER2/SLC52A1/NFKBIE/SLC25A25/UCN/SLC6A20/NGB/LMBRD1/KCNA2/SLC25A22/CLN8/HBA1/SLC26A6/SLC25A10	22
BP	GO:0031468	nuclear envelope reassembly	4/1327	18/18670	0.034836801344068	0.999954174444838	0.999954174444838	VRK1/CHMP2A/CHMP7/PPP2R2A	4
BP	GO:0070233	negative regulation of T cell apoptotic process	4/1327	18/18670	0.034836801344068	0.999954174444838	0.999954174444838	JAK3/CD27/FADD/EFNA1	4
BP	GO:0006369	termination of RNA polymerase II transcription	6/1327	35/18670	0.0350337200483401	0.999954174444838	0.999954174444838	CPSF1/PAPOLA/CSTF1/FIP1L1/CPSF4/CPSF2	6
BP	GO:0030217	T cell differentiation	25/1327	240/18670	0.0352668608920401	0.999954174444838	0.999954174444838	FOXP3/PRDM1/CBFB/BCL3/IL7/CLPTM1/JAK3/VSIR/IFNG/ITK/FOXP1/EGR1/CCR7/SPINK5/CD27/ZC3H8/AIRE/FADD/STAT3/PRELID1/RASGRP1/THEMIS/RAG2/CD3E/HLA-DOA	25
BP	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	12/1327	95/18670	0.0365956766770796	0.999954174444838	0.999954174444838	PSMD8/PSMC6/PSMC1/PSMB5/PSMD10/PSMD7/DMAC2/PSMD9/LRRC29/PSMC2/FBXO39/NCCRP1	12
BP	GO:1903076	regulation of protein localization to plasma membrane	12/1327	95/18670	0.0365956766770796	0.999954174444838	0.999954174444838	PPP2R5A/PICALM/VTI1B/ANXA13/RANGRF/IFNG/PPFIA1/AKT1/PTPN9/STX8/RHOG/NHLRC1	12
BP	GO:0070997	neuron death	34/1327	348/18670	0.0369695276616911	0.999954174444838	0.999954174444838	GCLC/PICALM/PSEN1/PPP1R13B/AARS1/NRP1/ALKBH1/PSMC1/CORO1A/AKT2/IFNG/ATF2/EGR1/PTK2B/PIGT/STAMBP/PARP2/SNX6/PPT1/SRPK2/ARRB1/AKT1/UCN/BAG5/FADD/STAT3/FOXB1/NMNAT1/NQO1/HSF1/RILPL1/SIAH1/ATG7/AKT1S1	34
BP	GO:0051204	protein insertion into mitochondrial membrane	7/1327	45/18670	0.0381560728396382	0.999954174444838	0.999954174444838	HSP90AA1/PPP1R13B/TIMM13/TIMM9/YWHAE/MAIP1/MOAP1	7
BP	GO:0002517	T cell tolerance induction	3/1327	11/18670	0.0384083312442436	0.999954174444838	0.999954174444838	FOXP3/AIRE/CD3E	3
BP	GO:0019532	oxalate transport	3/1327	11/18670	0.0384083312442436	0.999954174444838	0.999954174444838	SLC26A10/SLC26A7/SLC26A6	3
BP	GO:0019852	L-ascorbic acid metabolic process	3/1327	11/18670	0.0384083312442436	0.999954174444838	0.999954174444838	GCLC/CYB5R3/GSTO1	3
BP	GO:0032276	regulation of gonadotropin secretion	3/1327	11/18670	0.0384083312442436	0.999954174444838	0.999954174444838	OPRK1/INHA/INHBB	3
BP	GO:0036462	TRAIL-activated apoptotic signaling pathway	3/1327	11/18670	0.0384083312442436	0.999954174444838	0.999954174444838	TNFRSF10A/TNFRSF10B/FADD	3
BP	GO:0045060	negative thymic T cell selection	3/1327	11/18670	0.0384083312442436	0.999954174444838	0.999954174444838	CCR7/AIRE/CD3E	3
BP	GO:0045919	positive regulation of cytolysis	3/1327	11/18670	0.0384083312442436	0.999954174444838	0.999954174444838	P2RX7/CFHR5/CFHR1	3
BP	GO:0060315	negative regulation of ryanodine-sensitive calcium-release channel activity	3/1327	11/18670	0.0384083312442436	0.999954174444838	0.999954174444838	CALM2/GSTO1/CALM1	3
BP	GO:0090657	telomeric loop disassembly	3/1327	11/18670	0.0384083312442436	0.999954174444838	0.999954174444838	XRCC3/TERF2/SLX1B	3
BP	GO:1901096	regulation of autophagosome maturation	3/1327	11/18670	0.0384083312442436	0.999954174444838	0.999954174444838	CLEC16A/PHF23/UVRAG	3
BP	GO:0006353	DNA-templated transcription, termination	10/1327	75/18670	0.0389989029808249	0.999954174444838	0.999954174444838	MNAT1/CPSF1/PAPOLA/CSTF1/MTERF2/MTERF1/TAF1A/FIP1L1/CPSF4/CPSF2	10
BP	GO:0000188	inactivation of MAPK activity	5/1327	27/18670	0.0392040720254883	0.999954174444838	0.999954174444838	DUSP1/DUSP4/MBIP/DUSP8/SPRED3	5
BP	GO:0010038	response to metal ion	35/1327	362/18670	0.0394881040908682	0.999954174444838	0.999954174444838	GCLC/ERCC1/MNAT1/ABCC2/P2RX7/ICAM1/ATP5F1D/GSS/SYT17/NDRG1/PPP2CB/SLC30A3/DUSP1/PTK2B/FOSB/JUND/SLC41A1/NPC1/AKT1/CALM2/TRPC1/CAMK2D/QDPR/VCAM1/ANXA5/STIM1/JUNB/NQO1/PENK/HSF1/MT1X/MT1F/CALM1/GDI1/MT1H	35
BP	GO:1901020	negative regulation of calcium ion transmembrane transporter activity	6/1327	36/18670	0.0396045714766109	0.999954174444838	0.999954174444838	GNB5/YWHAE/REM2/CALM2/GSTO1/CALM1	6
BP	GO:0006399	tRNA metabolic process	20/1327	185/18670	0.0399620418023273	0.999954174444838	0.999954174444838	TRIT1/CPSF1/RTRAF/AARS1/TRMU/ALKBH1/PRORP/PTCD1/HARS2/TRMT5/DTD2/ELP3/THUMPD2/CPSF4/DUS2/ELP5/TRMT10C/TRMT12/TSEN15/GATC	20
BP	GO:1903364	positive regulation of cellular protein catabolic process	16/1327	140/18670	0.0402935166345387	0.999954174444838	0.999954174444838	GCLC/ATXN3/PSEN1/HSP90AA1/EDEM2/PSMC1/PSMD10/NOP53/PTK2B/AKT1/RNF217/PSMC2/PTK2/SOCS4/CSNK1A1L/SMURF1	16
BP	GO:0044106	cellular amine metabolic process	15/1327	129/18670	0.040464756739634	0.999954174444838	0.999954174444838	ABCC2/MOXD1/COMT/PSMD8/PSMC6/PSMC1/PSMB5/PSMD10/PSMD7/PSMD9/SAT2/PSMC2/HPRT1/SULT1B1/NQO1	15
BP	GO:0009451	RNA modification	18/1327	163/18670	0.0414951999656526	0.999954174444838	0.999954174444838	TRIT1/AARS1/ALKBH5/TRMU/ALKBH1/PRORP/TRMT5/ELP3/THUMPD2/A1CF/RBM47/DUS2/ELP5/MRM3/TRMT10C/METTL15P1/TRMT12/FBLL1	18
BP	GO:0002715	regulation of natural killer cell mediated immunity	7/1327	46/18670	0.0423521039851	0.999954174444838	0.999954174444838	CEACAM1/ULBP1/NECTIN2/CRK/RASGRP1/LAMP1/KLRC4-KLRK1	7
BP	GO:0006865	amino acid transport	16/1327	141/18670	0.042579927853579	0.999954174444838	0.999954174444838	PSEN1/P2RX7/SLC32A1/SLC38A7/STX1A/SLC36A1/PPFIA1/PER2/SLC38A2/SLC38A6/PPFIA4/SFXN5/NFKBIE/SLC6A20/SLC25A22/CLN8	16
BP	GO:0001912	positive regulation of leukocyte mediated cytotoxicity	8/1327	56/18670	0.0432752868013626	0.999954174444838	0.999954174444838	P2RX7/ULBP1/NECTIN2/FAM49B/FADD/RASGRP1/LAMP1/KLRC4-KLRK1	8
BP	GO:1905515	non-motile cilium assembly	8/1327	56/18670	0.0432752868013626	0.999954174444838	0.999954174444838	PCM1/IFT52/BBS2/CEP250/INTU/TTC8/TMEM80/TMEM107	8
BP	GO:0038083	peptidyl-tyrosine autophosphorylation	6/1327	37/18670	0.0445363566421172	0.999954174444838	0.999954174444838	ITK/PTK2B/TEC/BLK/PTK2/TNK1	6
BP	GO:0042110	T cell activation	43/1327	464/18670	0.0447431382982404	0.999954174444838	0.999954174444838	FOXP3/PRDM1/CBFB/BCL3/CEACAM1/PSEN1/P2RX7/ICAM1/SLA2/CD40LG/CORO1A/IL7/CLPTM1/JAK3/VSIR/CD5/IFNG/ITK/FOXP1/EGR1/CCR7/SPINK5/CD27/AKT1/ZC3H8/FAM49B/AIRE/VCAM1/FADD/STAT3/PRELID1/CD8B/RASGRP1/THEMIS/CD7/RAG2/PAWR/BTLA/TNFRSF4/CD3E/HLA-DOA/MIR27A/KLRC4-KLRK1	43
BP	GO:0031341	regulation of cell killing	12/1327	98/18670	0.0448935260933518	0.999954174444838	0.999954174444838	CEACAM1/P2RX7/ICAM1/IFNG/ULBP1/NECTIN2/FAM49B/CRK/FADD/RASGRP1/LAMP1/KLRC4-KLRK1	12
BP	GO:0045577	regulation of B cell differentiation	5/1327	28/18670	0.0450335612379111	0.999954174444838	0.999954174444838	HMGB3/IL7/INHA/CD27/INPP5D	5
BP	GO:1903792	negative regulation of anion transport	5/1327	28/18670	0.0450335612379111	0.999954174444838	0.999954174444838	GABRE/AKT2/PRKG2/AKT1/ANO9	5
BP	GO:2000463	positive regulation of excitatory postsynaptic potential	5/1327	28/18670	0.0450335612379111	0.999954174444838	0.999954174444838	STX1A/PTK2B/IGSF11/SHANK2/RIMS2	5
BP	GO:0031397	negative regulation of protein ubiquitination	10/1327	77/18670	0.045505476239658	0.999954174444838	0.999954174444838	GCLC/PSEN1/LIMK1/USP4/IVNS1ABP/PER2/ARRB1/AKT1/BAG5/SVBP	10
BP	GO:0061418	regulation of transcription from RNA polymerase II promoter in response to hypoxia	10/1327	77/18670	0.045505476239658	0.999954174444838	0.999954174444838	PSMD8/PSMC6/PSMC1/PSMB5/PSMD10/PSMD7/CA9/PSMD9/EGR1/PSMC2	10
BP	GO:0010498	proteasomal protein catabolic process	44/1327	477/18670	0.0455321488408274	0.999954174444838	0.999954174444838	GCLC/CDC27/POMT2/CLEC16A/JKAMP/ATXN3/UBE2D1/DERL2/PPP2R5C/PSEN1/PCNP/EDEM2/PSMD8/PSMC6/PSMC1/PSMB5/PSMD10/PSMD7/PPP2CB/DMAC2/NOP53/SMURF2/PSMD9/LRRC29/SCO1/ARRB1/GID4/AKT1/RNF217/CCAR2/PSMC2/BAG5/PSME3IP1/CDC26/FBXO39/AURKB/SHARPIN/SOCS4/CSNK1A1L/MTA1/NHLRC1/NCCRP1/SIAH1/SMURF1	44
BP	GO:0008206	bile acid metabolic process	7/1327	47/18670	0.0468355308204859	0.999954174444838	0.999954174444838	CYP46A1/ACAA1/OSBPL9/NPC1/FGF19/CYP7B1/AKR1C1	7
BP	GO:0070231	T cell apoptotic process	7/1327	47/18670	0.0468355308204859	0.999954174444838	0.999954174444838	JAK3/CD27/AKT1/ZC3H8/FADD/PRELID1/EFNA1	7
BP	GO:0090151	establishment of protein localization to mitochondrial membrane	7/1327	47/18670	0.0468355308204859	0.999954174444838	0.999954174444838	HSP90AA1/PPP1R13B/TIMM13/TIMM9/YWHAE/MAIP1/MOAP1	7
